H1,H2,H3,H4,H5,H6,H7,H8,S1,S2,S3,S4,S5,S6,S7,S8,V1,V2,V3,V4,V5,V6,V7,V8,LabelName
143,5470,2155,6617,5,1,0,0,1090,4579,375,571,766,856,1310,4844,930,2318,481,382,160,123,420,9577,Galeria
8860,18,613,3103,315,531,0,0,1731,325,1631,5708,2384,666,368,627,1718,1960,283,93,48,129,594,8615,Contactos
0,1,9886,2303,0,0,0,0,276,351,194,107,262,860,1315,8825,1049,2273,202,45,56,261,4023,4281,Telefone
0,0,8585,4495,10,0,0,0,957,7722,367,381,520,791,1073,1279,382,1998,991,248,294,202,112,8863,Relogio
1845,0,33,5690,1157,5793,0,0,2933,186,750,4704,3799,1286,382,478,43,3807,1244,250,63,125,665,8321,Galaxy_Store
256,1082,6090,9762,104,232,0,0,10182,1101,615,629,897,1398,1568,1136,104,3939,1363,368,152,141,282,11177,Ferramentas
338,0,4387,5400,690,2055,0,0,6077,1658,647,1559,1256,539,511,623,0,1256,1351,350,77,340,1270,8226,Email
0,0,8566,4744,10,0,0,0,1031,7623,339,288,707,783,1245,1304,548,2225,869,237,253,208,114,8866,Relogio
8858,18,468,4046,342,528,0,0,1742,389,1874,5682,2620,1023,292,638,2093,2323,368,89,40,129,617,8601,Contactos
0,1,10001,2993,0,0,0,0,291,336,183,144,349,1131,1529,9032,1380,2625,248,50,57,309,4021,4305,Telefone
0,0,3442,9553,0,0,0,0,483,234,169,67,57,199,1082,10704,19,1470,673,556,183,81,373,9640,Musica
5371,4136,1374,3692,163,214,0,0,3899,3720,4716,994,965,319,131,206,1300,2208,261,93,63,77,243,10705,Mensagem
713,387,8805,5732,58,53,0,0,1884,1219,1347,1200,1080,585,1177,7256,518,2289,806,265,90,113,922,10745,S_Health
0,0,6840,7901,1,0,0,0,8195,1064,840,2681,1044,305,241,372,0,88,4100,373,180,405,136,9460,S_Planner
0,0,5617,10233,17,0,0,0,9551,671,347,2059,626,453,1285,875,3,1574,2887,646,119,249,330,10059,Radio
0,0,1132,10198,0,0,0,0,1064,714,168,1398,3761,2112,1037,1076,0,902,715,798,187,151,782,7795,Internet
0,0,2817,10958,491,2,0,0,2870,2159,1877,769,1465,1274,1727,2127,84,2072,2164,269,114,251,1270,8044,Camara
0,0,10449,5679,0,0,0,0,3292,4818,447,296,617,1236,1020,4402,297,2026,1380,307,132,143,668,11175,Gestor_Inteligente
0,0,1680,10510,0,0,0,0,1249,497,189,83,33,81,808,9250,417,1524,471,422,251,222,422,8461,Definicoes
145,5464,2171,6498,0,2,0,0,1028,4694,482,763,1110,695,817,4691,763,2309,576,359,149,112,427,9585,Galeria
2512,1580,2687,4937,399,654,0,0,400,2216,610,1982,1436,1042,1250,3833,190,3269,1070,76,114,452,2295,5303,Chrome
0,0,8276,5869,0,0,0,0,247,280,406,176,198,499,757,11582,92,2580,1460,247,137,224,539,8866,S_Voice
0,0,9798,1650,0,0,0,0,24,160,322,219,409,277,884,9153,492,1406,586,45,38,285,2270,6326,Calculadora
0,0,0,4100,11400,0,0,0,1069,78,282,4291,4622,1474,1608,2076,1355,1951,639,364,194,252,604,10141,Video
1966,0,51,4922,1171,5694,0,0,2925,122,397,3537,4632,1161,341,689,271,3351,791,225,62,124,669,8311,Galaxy_Store
0,0,10223,6157,0,0,0,0,3534,4930,502,264,432,1458,1065,4195,158,2510,1151,205,112,144,712,11388,Gestor_Inteligente
0,0,1142,10690,0,0,0,0,1061,723,167,1520,3733,2399,1074,1155,0,1222,862,821,209,139,769,7810,Internet
0,0,1568,11424,0,0,0,0,1263,476,199,75,31,122,1112,9714,696,2058,469,425,235,231,416,8462,Definicoes
0,0,8118,4869,0,0,0,0,241,298,387,168,78,118,915,10782,268,1630,1112,235,116,217,533,8876,S_Voice
0,0,6985,7863,0,0,0,0,8138,1110,519,2352,1538,505,298,388,0,560,3866,263,200,378,130,9451,S_Planner
0,0,3219,9663,0,0,0,0,493,241,156,47,51,293,1111,10490,8,906,791,745,235,108,376,9713,Musica
2468,1632,2693,4182,367,742,0,0,484,2249,601,2319,1221,777,690,3743,419,2614,564,138,147,487,2302,5413,Chrome
108,5540,2223,5350,0,0,0,0,1133,4603,422,437,562,411,899,4754,850,1485,362,281,126,116,422,9579,Galeria
0,0,9826,1829,0,0,0,0,28,154,327,353,407,195,767,9424,1035,953,702,46,35,277,2347,6260,Calculadora
924,357,8657,5189,66,59,0,0,1307,1207,1451,1222,896,571,1139,7459,862,2304,537,158,88,118,957,10228,S_Health
0,0,9875,2555,0,0,0,0,351,296,243,118,458,1134,976,8854,663,2677,329,60,57,308,4085,4251,Telefone
0,0,0,3504,11371,0,0,0,1074,73,279,4171,4723,1263,1281,2011,987,1717,609,374,188,247,597,10156,Video
8881,24,658,2540,339,545,0,0,1738,454,1498,5761,2073,467,384,612,1628,1622,248,88,67,118,582,8634,Contactos
329,0,4433,6526,671,2071,0,0,6570,1171,791,2074,1300,887,693,544,0,1648,2092,376,81,349,1276,8208,Email
292,1087,6254,10002,114,207,0,0,9964,1212,425,263,1471,2045,1594,982,602,4579,952,165,57,151,286,11164,Ferramentas
0,0,8563,5814,7,0,0,0,961,7732,387,315,829,1228,1471,1461,939,2733,966,288,274,209,112,8863,Relogio
0,0,2828,10611,478,3,0,0,2918,2254,1821,535,1194,1511,1358,2329,1,2012,1947,263,133,260,1233,8071,Camara
0,0,5759,9731,10,0,0,0,9517,701,361,2190,1204,663,494,370,1,1075,3302,385,99,260,346,10032,Radio
5098,4220,1275,2696,152,199,0,0,3889,4063,3927,688,547,280,102,144,932,1365,247,101,60,64,232,10639,Mensagem
0,0,3203,9562,0,0,0,0,491,242,163,48,74,326,1091,10330,0,859,729,749,228,106,377,9717,Musica
0,0,9955,2699,0,0,0,0,298,325,300,242,470,1028,1109,8882,387,2817,670,80,63,292,4049,4296,Telefone
8822,26,551,2972,287,567,0,0,1751,485,1558,5934,1909,651,367,570,1838,1631,269,88,55,143,572,8629,Contactos
268,5432,2109,4709,8,14,0,0,1227,4575,324,456,490,433,648,4387,909,1213,257,176,81,109,415,9380,Galeria
5502,4234,1392,3231,101,181,0,0,3961,3905,4501,809,809,287,130,239,1032,2151,276,96,65,71,245,10705,Mensagem
0,0,1092,10892,0,0,0,0,1063,720,170,1456,3984,2548,910,1133,0,1039,1161,847,212,151,753,7821,Internet
0,0,2921,10518,471,0,0,0,2812,2410,1792,495,1133,1561,1377,2330,0,2126,1841,243,142,255,1226,8077,Camara
2224,1610,2660,3291,320,911,0,0,388,2222,583,2142,757,660,668,3596,244,2260,291,70,114,452,2264,5321,Chrome
0,0,8221,4955,0,0,0,0,246,298,386,170,98,124,993,10861,234,1991,940,266,115,212,528,8890,S_Voice
0,0,9809,2071,0,0,0,0,25,163,322,290,459,206,833,9582,943,1273,688,56,36,285,2149,6450,Calculadora
0,0,0,3598,11402,0,0,0,1079,72,267,4219,4671,1372,1380,1940,610,2182,640,375,189,257,607,10140,Video
920,365,8484,4988,64,63,0,0,1738,1240,1500,1142,989,496,985,6794,721,1831,535,212,83,124,1007,10371,S_Health
0,0,1671,11082,0,0,0,0,1270,472,192,77,37,84,959,9662,720,1770,497,405,248,216,422,8475,Definicoes
0,0,5502,10365,8,0,0,0,9495,715,296,2511,1246,921,339,352,0,1193,3548,394,101,248,345,10046,Radio
297,0,4619,6431,696,2093,0,0,6510,1213,722,2300,1292,658,891,550,0,1738,2122,363,72,360,1266,8215,Email
242,1127,6173,9167,103,212,0,0,10094,1005,511,409,1060,1563,1452,930,670,3563,961,176,53,152,297,11152,Ferramentas
0,0,8585,5440,5,0,0,0,1261,7419,358,337,700,1191,1414,1350,771,2760,802,243,275,196,114,8869,Relogio
0,0,7033,7245,0,0,0,0,8092,1158,888,1468,1307,638,334,393,10,546,3343,212,209,356,147,9455,S_Planner
2004,0,41,5704,1190,5686,0,0,2929,117,491,3179,5194,1600,340,775,464,4244,541,220,49,139,657,8311,Galaxy_Store
0,0,10504,5855,0,0,0,0,3547,5078,491,227,232,1650,904,4230,231,2633,821,192,116,130,714,11522,Gestor_Inteligente
0,0,1054,10064,0,0,0,0,1074,705,180,1439,3578,2368,689,1085,0,733,700,743,220,145,778,7799,Internet
0,0,2826,12055,477,2,0,0,2849,2303,1850,618,1601,2108,1612,2419,5,3190,2180,288,132,246,1250,8069,Camara
0,0,0,3394,11356,0,0,0,1077,65,270,4240,4719,1276,1147,1956,839,1705,629,386,195,255,602,10139,Video
0,0,9711,1949,0,0,0,0,17,167,321,331,450,216,709,9449,917,1068,700,60,29,277,2199,6410,Calculadora
0,0,8133,4743,0,0,0,0,225,312,388,166,71,90,1106,10518,432,1653,815,226,119,223,527,8881,S_Voice
1960,0,35,5020,1161,5748,0,0,2931,113,393,3422,4759,1241,310,755,282,3678,579,219,60,130,661,8315,Galaxy_Store
291,1066,6372,9929,82,207,0,0,9959,1273,385,327,1411,1866,1902,824,811,4445,862,175,52,146,282,11174,Ferramentas
