H1,H2,H3,H4,S1,S2,S3,S4,V1,V2,V3,V4,LabelName
1285,12986,128,0,2875,2647,1355,7522,2198,711,220,11270,S_Health
0,14836,23,0,10186,2066,1941,666,884,3236,354,10385,Radio
0,13216,0,0,1748,267,183,11018,2972,896,455,8893,Definicoes
312,10821,2775,0,7727,3065,1841,1275,1522,2452,449,9485,Email
2015,5051,6858,0,3048,3783,5991,1102,3987,772,188,8977,Galaxy_Store
0,15750,0,0,8515,719,1226,5290,2239,1126,230,12155,Gestor_Inteligente
0,16000,0,0,8354,775,1488,5383,2168,1492,243,12097,Gestor_Inteligente
0,12882,0,0,521,580,334,11447,1699,1425,354,9404,S_Voice
4015,7052,1345,0,2828,2831,2376,4377,2950,916,743,7803,Chrome
0,12296,0,0,1738,268,134,10156,2039,909,475,8873,Definicoes
360,10590,2730,0,7723,2591,2076,1290,1668,2096,435,9481,Email
1,11555,0,0,185,656,608,10107,1931,708,318,8599,Calculadora
0,15738,10,0,10230,2787,1572,1159,1025,3993,335,10395,Radio
1201,13084,598,0,2625,3027,1207,8024,2307,1212,189,11175,S_Health
0,3029,11367,0,1141,4429,5831,2995,2245,965,447,10739,Video
1368,15064,338,0,11382,659,2509,2220,3702,1402,220,11446,Ferramentas
0,13420,0,0,9265,2044,1484,627,281,2969,585,9585,S_Planner
1929,6115,6962,0,3051,5224,5771,960,4253,1578,187,8988,Galaxy_Store
0,13098,0,0,714,223,274,11887,1138,1498,333,10129,Musica
3,12281,481,0,5106,2303,2108,3248,1369,1699,390,9307,Camara
0,11856,0,0,1781,1643,6275,2157,1212,1723,350,8571,Internet
9408,3844,203,0,7780,4460,870,345,2115,284,140,10916,Mensagem
5613,8772,6,0,5669,946,1622,6154,3248,863,283,9997,Galeria
8878,3716,846,0,2056,7339,3050,995,3678,376,177,9209,Contactos
1,12189,0,0,627,301,1122,10140,3322,247,317,8304,Telefone
0,13080,10,0,8679,748,1311,2352,2380,1239,496,8975,Relogio
1845,5723,6950,0,3119,5454,5085,860,3850,1494,188,8986,Galaxy_Store
1338,15852,336,0,11283,1244,2295,2704,4043,1731,293,11459,Ferramentas
338,9787,2745,0,7735,2206,1795,1134,1256,1701,417,9496,Email
0,13310,10,0,8654,627,1490,2549,2773,1106,461,8980,Relogio
8876,4514,870,0,2131,7556,3643,930,4416,457,169,9218,Contactos
1,12994,0,0,627,327,1480,10561,4005,298,366,8326,Telefone
0,12995,0,0,717,236,256,11786,1489,1229,264,10013,Musica
9507,5066,377,0,7619,5710,1284,337,3508,354,140,10948,Mensagem
1100,14537,111,0,3103,2547,1665,8433,2807,1071,203,11667,S_Health
0,14741,1,0,9259,3521,1349,613,88,4473,585,9596,S_Planner
0,15850,17,0,10222,2406,1079,2160,1577,3533,368,10389,Radio
0,11330,0,0,1778,1566,5873,2113,902,1513,338,8577,Internet
0,13775,493,0,5029,2646,2739,3854,2156,2433,365,9314,Camara
0,16128,0,0,8110,743,1853,5422,2323,1687,275,11843,Gestor_Inteligente
0,12190,0,0,1746,272,114,10058,1941,893,473,8883,Definicoes
5609,8669,2,0,5722,1245,1805,5508,3072,935,261,10012,Galeria
4092,7624,1053,0,2616,2592,2478,5083,3459,1146,566,7598,Chrome
0,14145,0,0,527,582,697,12339,2672,1707,361,9405,S_Voice
0,11448,0,0,184,541,686,10037,1898,631,323,8596,Calculadora
0,4100,11400,0,1147,4573,6096,3684,3306,1003,446,10745,Video
1966,4973,6865,0,3047,3934,5793,1030,3622,1016,186,8980,Galaxy_Store
0,16380,0,0,8464,766,1890,5260,2668,1356,256,12100,Gestor_Inteligente
0,11832,0,0,1784,1687,6132,2229,1222,1683,348,8579,Internet
0,12992,0,0,1739,274,153,10826,2754,894,466,8878,Definicoes
0,12987,0,0,539,555,196,11697,1898,1347,333,9409,S_Voice
0,14848,0,0,9248,2871,2043,686,560,4129,578,9581,S_Planner
0,12882,0,0,734,203,344,11601,914,1536,343,10089,Musica
4100,6875,1109,0,2733,2920,1998,4433,3033,702,634,7715,Chrome
5648,7573,0,0,5736,859,973,5653,2335,643,242,10001,Galeria
0,11655,0,0,182,680,602,10191,1988,748,312,8607,Calculadora
1281,13846,125,0,2514,2673,1467,8598,3166,695,206,11185,S_Health
0,12430,0,0,647,361,1592,9830,3340,389,365,8336,Telefone
0,3504,11371,0,1147,4450,5986,3292,2704,983,435,10753,Video
8905,3198,884,0,2192,7259,2540,996,3250,336,185,9216,Contactos
329,10959,2742,0,7741,2865,2187,1237,1648,2468,430,9484,Email
1379,16256,321,0,11176,688,3516,2576,5181,1117,208,11450,Ferramentas
0,14377,7,0,8693,702,2057,2932,3672,1254,483,8975,Relogio
0,13439,481,0,5172,2356,2705,3687,2013,2210,393,9304,Camara
0,15490,10,0,10218,2551,1867,864,1076,3687,359,10378,Radio
9318,3971,351,0,7952,4615,827,246,2297,348,124,10871,Mensagem
0,12765,0,0,733,211,400,11421,859,1478,334,10094,Musica
0,12654,0,0,623,542,1498,9991,3204,750,355,8345,Telefone
8848,3523,854,0,2236,7492,2560,937,3469,357,198,9201,Contactos
5700,6818,22,0,5802,780,923,5035,2122,433,190,9795,Galeria
9736,4623,282,0,7866,5310,1096,369,3183,372,136,10950,Mensagem
0,11984,0,0,1783,1626,6532,2043,1039,2008,363,8574,Internet
0,13439,471,0,5222,2287,2694,3707,2126,2084,397,9303,Camara
3834,5951,1231,0,2610,2725,1417,4264,2504,361,566,7585,Chrome
0,13176,0,0,544,556,222,11854,2225,1206,327,9418,S_Voice
0,11880,0,0,188,612,665,10415,2216,744,321,8599,Calculadora
0,3598,11402,0,1151,4486,6043,3320,2792,1015,446,10747,Video
